observation,score
Dense and dry terrain.,4
The soil is acceptable firmness and partially settled.,3
Foundations would sit on collapsing and no bearing capacity earth.,1
Observation: very hard and undisturbed.,5
Sinking ground.,1
Excavation reveals slightly moist layers.,3
Foundations would sit on typical silt and fair condition earth.,3
Site consists of compressible and unconsolidated material.,2
Observation: resistant to penetration and hard clay.,4
Observation: moderate stiffness.,3
Site consists of compacted gravel and good bearing material.,4
Excavation reveals compacted gravel layers.,4
Site consists of very hard material.,5
Highly compacted sand with no moisture,3
The soil is cemented.,5
Dry soil conditions observed.,4
Site consists of shifts underfoot material.,2
Testing indicates dense and resistant to penetration subsurface.,4
Excavation reveals sinking layers.,1
Testing indicates soft subsurface.,2
Slightly moist terrain.,3
Medium dense and moderately compacted ground.,3
Site consists of soft and compressible material.,2
Foundations would sit on zero resistance and very soft earth.,1
Lightly consolidated and needs deep reinforcement soil conditions observed.,2
Excavation reveals solid footing layers.,4
Ground appears liquefied and sludge and liquefied and sludge.,1
"Loose sandy soil, unstable",2
Hard clay with good firmness,4
Dry soil conditions observed.,4
Foundations would sit on compressible earth.,2
Soft and compressible terrain.,2
Observation: compacted gravel and compacted gravel.,4
Observation: firm.,4
Very hard and very hard terrain.,5
Zero resistance and sinking terrain.,1
Site consists of impenetrable material.,5
Average consistency ground.,3
Poorly compacted soil conditions observed.,2
Site consists of waterlogged and zero resistance material.,1
Compressible and unconsolidated ground.,2
Foundations would sit on shifts underfoot earth.,2
Observation: average consistency.,3
Foundations would sit on weak earth.,2
Ground appears spongy and weak and spongy and weak.,2
Excellent stability and rock-like soil conditions observed.,5
Swampy terrain.,1
Site consists of medium dense material.,3
Ground appears poorly compacted and poorly compacted.,2
"Average silty soil, some weak spots",1
Needs deep reinforcement soil conditions observed.,2
Excavation reveals lightly consolidated and loose layers.,2
Unconsolidated and shifts underfoot ground.,2
Testing indicates compacted gravel subsurface.,4
Site consists of waterlogged material.,1
Partially settled and average consistency terrain.,3
Spongy and shifts underfoot ground.,2
The soil is very hard and maximum compaction.,5
Site consists of acceptable firmness material.,3
Fair condition soil conditions observed.,3
Testing indicates spongy subsurface.,2
Dry and compacted gravel soil conditions observed.,4
Excavation reveals needs deep reinforcement layers.,2
Observation: medium dense.,3
Testing indicates bedrock exposed subsurface.,5
"Dense clay, slightly wet but strong",2
Site consists of liquefied and fluid-like material.,1
The soil is dense.,4
Hard clay and good bearing terrain.,4
Testing indicates good bearing subsurface.,4
Testing indicates partially settled subsurface.,3
Site consists of acceptable firmness material.,3
The soil is unconsolidated.,2
Testing indicates solid footing and good bearing subsurface.,4
Solid footing and resistant to penetration soil conditions observed.,4
Foundations would sit on stable enough and moderate stiffness earth.,3
Foundations would sit on moderately compacted and moderately compacted earth.,3
Liquefied terrain.,1
Excavation reveals moderately compacted layers.,3
Soft clay with water patches,2
Acceptable firmness ground.,3
Foundations would sit on unconsolidated earth.,2
The soil is unconsolidated.,2
Moderately compacted ground.,3
Marshy and swampy ground.,1
Ground appears acceptable firmness and stable enough and acceptable firmness and stable enough.,3
Site consists of excellent stability and undisturbed material.,5
Foundations would sit on impenetrable and rock-like earth.,5
Ground appears fair condition and fair condition and fair condition and fair condition.,3
Foundations would sit on partially settled earth.,3
Testing indicates highly consolidated and very hard subsurface.,5
Testing indicates lightly consolidated subsurface.,2
High strength soil conditions observed.,4
Testing indicates compacted gravel subsurface.,4
Foundations would sit on high strength earth.,4
"Loose sandy soil, weak support",1
Foundations would sit on very soft earth.,1
Ground appears average consistency and average consistency.,3
Excellent stability ground.,5
Weak muddy soil with low support,1
Ground appears sinking and sinking.,1
Foundations would sit on very hard and excellent stability earth.,5
Site consists of typical silt material.,3
Testing indicates solid footing and resistant to penetration subsurface.,4
Sludge and very soft ground.,1
Ground appears excellent stability and excellent stability and excellent stability and excellent stability.,5
Soft and yielding terrain.,2
Impenetrable terrain.,5
Moderately compacted soil conditions observed.,3
Excavation reveals acceptable firmness and moderately compacted layers.,3
The soil is typical silt.,3
Excavation reveals liquefied layers.,1
Observation: medium dense.,3
Lightly consolidated terrain.,2
The soil is dense.,4
Shifts underfoot terrain.,2
Testing indicates poorly compacted and weak subsurface.,2
Poorly compacted and soft terrain.,2
"Firm sand with gravel, very stable",4
Site consists of extremely dense material.,5
Average consistency and average consistency ground.,3
Excavation reveals needs deep reinforcement layers.,2
Lightly consolidated ground.,2
Site consists of needs deep reinforcement material.,2
Sludge ground.,1
Highly consolidated terrain.,5
Site consists of moderately compacted and average consistency material.,3
Dense soil conditions observed.,4
Observation: slightly moist and medium dense.,3
The soil is medium dense and medium dense.,3
Loose silty soil,2
Excavation reveals acceptable firmness layers.,3
The soil is collapsing and very soft.,1
The soil is partially settled and stable enough.,3
Collapsing ground.,1
Ground appears moderate stiffness and moderate stiffness.,3
Site consists of very hard and maximum compaction material.,5
Site consists of swampy and marshy material.,1
Loose terrain.,2
Testing indicates firm subsurface.,4
Slightly moist soil conditions observed.,3
Foundations would sit on stable and stable earth.,4
Foundations would sit on typical silt earth.,3
Foundations would sit on acceptable firmness earth.,3
Ground appears poorly compacted and poorly compacted.,2
Foundations would sit on stable enough earth.,3
The soil is rock-like.,5
High strength terrain.,4
Foundations would sit on highly consolidated earth.,5
Testing indicates moderately compacted subsurface.,3
Compacted gravel soil conditions observed.,4
Stable and dry ground.,4
Testing indicates lightly consolidated and unconsolidated subsurface.,2
Highly consolidated soil conditions observed.,5
Testing indicates loose subsurface.,2
Ground appears fair condition and fair condition.,3
Observation: undisturbed and excellent stability.,5
The soil is compacted gravel and well compacted.,4
The soil is soft.,2
Rocky and firm soil,4
Site consists of average consistency material.,3
Observation: slightly moist.,3
Foundations would sit on stable enough earth.,3
Excavation reveals moderate stiffness and stable enough layers.,3
Testing indicates cemented and highly consolidated subsurface.,5
Wet clay with soft spots,2
Zero resistance and liquefied soil conditions observed.,1
Weak ground.,2
Foundations would sit on stable and firm earth.,4
Excavation reveals slightly moist and stable enough layers.,3
Good bearing and hard clay soil conditions observed.,4
Spongy and loose terrain.,2
Ground appears dense and dense.,4
"Average clay, slightly moist",3
Foundations would sit on partially settled earth.,3
Testing indicates soft and yielding subsurface.,2
Excavation reveals well compacted layers.,4
Site consists of shifts underfoot material.,2
Extremely muddy soil conditions observed.,1
Ground appears moderately compacted and medium dense and moderately compacted and medium dense.,3
Collapsing ground.,1
Partially settled terrain.,3
The soil is slightly moist.,3
Excavation reveals moderately compacted and fair condition layers.,3
Observation: compacted gravel.,4
Ground appears good bearing and compacted gravel and good bearing and compacted gravel.,4
The soil is typical silt.,3
Foundations would sit on partially settled and moderately compacted earth.,3
Extremely muddy ground.,1
Swampy soil conditions observed.,1
"Strong clay, not very wet",3
Observation: spongy and soft.,2
"Moderately firm sand, some moisture",3
Excellent stability soil conditions observed.,5
The soil is moderately compacted.,3
Excavation reveals medium dense layers.,3
Site consists of good bearing material.,4
Yielding terrain.,2
Lightly consolidated soil conditions observed.,2
Excavation reveals firm layers.,4
Stable enough and slightly moist soil conditions observed.,3
Lightly consolidated ground.,2
Excavation reveals shifts underfoot layers.,2
Site consists of needs deep reinforcement material.,2
Testing indicates spongy subsurface.,2
Testing indicates medium dense and stable enough subsurface.,3
Foundations would sit on bedrock exposed earth.,5
Foundations would sit on very hard earth.,5
The soil is typical silt.,3
Observation: high strength and compacted gravel.,4
Site consists of unconsolidated and lightly consolidated material.,2
Observation: slightly moist and slightly moist.,3
Acceptable firmness soil conditions observed.,3
The soil is moderately compacted and moderately compacted.,3
Observation: moderate stiffness.,3
Yielding soil conditions observed.,2
Compressible and weak terrain.,2
Observation: fair condition.,3
Ground appears fair condition and fair condition.,3
Excavation reveals stable enough and moderate stiffness layers.,3
The soil is waterlogged.,1
Dense soil conditions observed.,4
Testing indicates impenetrable subsurface.,5
Very hard rocky soil,5
Excavation reveals firm layers.,4
Foundations would sit on unstable and extremely muddy earth.,1
Zero resistance and fluid-like terrain.,1
"Strong rocky soil, excellent support",5
Excavation reveals zero resistance layers.,1
Site consists of average consistency material.,3
Hazardous ground.,1
Ground appears cemented and cemented.,5
Very hard soil conditions observed.,5
The soil is maximum compaction and very hard.,5
Moderately compacted and average consistency terrain.,3
Weak terrain.,2
"Dry compact clay, high strength",3
Ground appears sludge and sludge and sludge and sludge.,1
Collapsing and sinking soil conditions observed.,1
Waterlogged ground.,1
Excavation reveals well compacted layers.,4
Ground appears extremely dense and very hard and extremely dense and very hard.,5
Well compacted and resistant to penetration ground.,4
Excavation reveals needs deep reinforcement layers.,2
Foundations would sit on waterlogged earth.,1
Testing indicates undisturbed subsurface.,5
Well compacted terrain.,4
Moderate soil condition with no major issues,3
Stable terrain.,4
Fair condition ground.,3
Ground appears hard clay and hard clay.,4
Undisturbed soil conditions observed.,5
Testing indicates highly consolidated subsurface.,5
Ground appears stable enough and fair condition and stable enough and fair condition.,3
Firm dry soil with good compaction,4
Observation: solid footing and hard clay.,4
The soil is slightly moist and average consistency.,3
Testing indicates cemented and very hard subsurface.,5
The soil is typical silt.,3
Site consists of sinking material.,1
Observation: slightly moist.,3
Swampy and sludge ground.,1
Excavation reveals medium dense layers.,3
Observation: good bearing.,4
Observation: partially settled.,3
Testing indicates acceptable firmness and medium dense subsurface.,3
Needs deep reinforcement soil conditions observed.,2
The soil is bedrock exposed.,5
Stable enough soil conditions observed.,3
Ground appears typical silt and average consistency and typical silt and average consistency.,3
Foundations would sit on fair condition and moderately compacted earth.,3
The soil is collapsing.,1
Observation: lightly consolidated.,2
Testing indicates fair condition subsurface.,3
The soil is cemented.,5
Typical silt ground.,3
Maximum compaction ground.,5
Moderate stiffness terrain.,3
"Soft soil, slightly muddy",1
Unconsolidated ground.,2
Site consists of dry material.,4
Soil is very soft and waterlogged,1
Average consistency and typical silt soil conditions observed.,3
Testing indicates slightly moist subsurface.,3
Observation: zero resistance.,1
Site consists of fluid-like material.,1
Site consists of medium dense and slightly moist material.,3
Foundations would sit on stable enough earth.,3
Excavation reveals resistant to penetration layers.,4
The soil is sludge.,1
The soil is highly consolidated.,5
Observation: highly consolidated and impenetrable.,5
Extremely dense and very hard ground.,5
Site consists of cemented material.,5
Medium dense terrain.,3
Cemented and maximum compaction terrain.,5
Observation: slightly moist.,3
Observation: poorly compacted.,2
Solid footing terrain.,4
Excavation reveals excellent stability and bedrock exposed layers.,5
"Soil is average, slight moisture present",3
Zero resistance and very soft soil conditions observed.,1
Testing indicates resistant to penetration subsurface.,4
Excavation reveals stable enough and moderately compacted layers.,3
Observation: cemented.,5
Ground appears firm and high strength and firm and high strength.,4
Spongy and unconsolidated terrain.,2
The soil is collapsing and collapsing.,1
Undisturbed ground.,5
Observation: spongy.,2
Ground appears stable and stable.,4
The soil is stable.,4
Ground appears compacted gravel and stable and compacted gravel and stable.,4
Foundations would sit on excellent stability earth.,5
Ground appears needs deep reinforcement and needs deep reinforcement.,2
Testing indicates slightly moist subsurface.,3
The soil is zero resistance.,1
Foundations would sit on moderate stiffness and medium dense earth.,3
Observation: compressible.,2
Testing indicates stable enough and medium dense subsurface.,3
Observation: cemented and extremely dense.,5
Foundations would sit on zero resistance and very soft earth.,1
Testing indicates partially settled subsurface.,3
Site consists of spongy material.,2
Testing indicates waterlogged subsurface.,1
Ground appears solid footing and high strength and solid footing and high strength.,4
Foundations would sit on sludge earth.,1
Site consists of undisturbed material.,5
Site consists of lightly consolidated material.,2
Stable soil conditions observed.,4
Foundations would sit on impenetrable earth.,5
Excavation reveals quick-sand layers.,1
Excavation reveals compressible and spongy layers.,2
Site consists of stable material.,4
The soil is rock-like.,5
Ground appears highly consolidated and highly consolidated.,5
Site consists of shifts underfoot and compressible material.,2
Partially settled and moderate stiffness soil conditions observed.,3
The soil is lightly consolidated.,2
Observation: compressible.,2
Excavation reveals needs deep reinforcement layers.,2
"Soil is sticky and wet, weak structure",1
The soil is highly consolidated.,5
Testing indicates zero resistance and hazardous subsurface.,1
The soil is dense and high strength.,4
The soil is undisturbed and impenetrable.,5
Foundations would sit on very hard earth.,5
Foundations would sit on marshy earth.,1
Observation: unconsolidated.,2
Good bearing soil conditions observed.,4
Testing indicates good bearing subsurface.,4
Site consists of bedrock exposed and excellent stability material.,5
Testing indicates stable enough and moderately compacted subsurface.,3
Site consists of dry and resistant to penetration material.,4
Bedrock exposed soil conditions observed.,5
Testing indicates very soft subsurface.,1
Excavation reveals maximum compaction layers.,5
Testing indicates firm subsurface.,4
The soil is average consistency.,3
The soil is medium dense.,3
Foundations would sit on impenetrable earth.,5
Ground appears acceptable firmness and slightly moist and acceptable firmness and slightly moist.,3
Observation: excellent stability.,5
Foundations would sit on compacted gravel and solid footing earth.,4
The soil is very hard.,5
Ground appears undisturbed and rock-like and undisturbed and rock-like.,5
Partially settled and average consistency soil conditions observed.,3
Lightly consolidated terrain.,2
Dry terrain.,4
Solid footing soil conditions observed.,4
The soil is compacted gravel.,4
Foundations would sit on liquefied and waterlogged earth.,1
Excavation reveals yielding layers.,2
Site consists of highly consolidated material.,5
Observation: waterlogged.,1
The soil is solid footing.,4
Stable enough terrain.,3
Observation: excellent stability.,5
Testing indicates spongy subsurface.,2
The soil is marshy.,1
Foundations would sit on dense earth.,4
Ground appears maximum compaction and maximum compaction.,5
Site consists of acceptable firmness material.,3
Site consists of rock-like material.,5
The soil is cemented.,5
Site consists of medium dense material.,3
Foundations would sit on hard clay earth.,4
Testing indicates typical silt subsurface.,3
Site consists of fair condition and stable enough material.,3
Testing indicates compressible subsurface.,2
Observation: lightly consolidated.,2
Site consists of compressible material.,2
Foundations would sit on soft and weak earth.,2
Site consists of maximum compaction material.,5
Testing indicates poorly compacted subsurface.,2
Testing indicates needs deep reinforcement and soft subsurface.,2
Excavation reveals impenetrable layers.,5
Testing indicates resistant to penetration subsurface.,4
Site consists of acceptable firmness and typical silt material.,3
Undisturbed soil conditions observed.,5
Solid footing and resistant to penetration terrain.,4
Partially settled soil conditions observed.,3
Foundations would sit on maximum compaction earth.,5
"Loose silty soil, average strength",2
Observation: medium dense.,3
Loose terrain.,2
The soil is bedrock exposed.,5
Observation: fluid-like and marshy.,1
Impenetrable and very hard terrain.,5
Foundations would sit on shifts underfoot and spongy earth.,2
Excavation reveals unstable and fluid-like layers.,1
Good quality soil with proper firmness,4
Observation: extremely muddy.,1
Testing indicates bedrock exposed subsurface.,5
Moderately compacted soil conditions observed.,3
Excavation reveals lightly consolidated and soft layers.,2
Average consistency soil conditions observed.,3
Weak and loose soil conditions observed.,2
Spongy ground.,2
Observation: acceptable firmness.,3
Maximum compaction soil conditions observed.,5
"Compact gravel, excellent strength",5
Cemented and bedrock exposed soil conditions observed.,5
Ground appears stable enough and stable enough.,3
Foundations would sit on spongy and spongy earth.,2
The soil is moderately compacted.,3
Excavation reveals loose and weak layers.,2
Observation: stable.,4
Foundations would sit on average consistency earth.,3
Excavation reveals resistant to penetration and well compacted layers.,4
Stable ground.,4
The soil is slightly moist.,3
The soil is excellent stability and very hard.,5
Ground appears well compacted and well compacted.,4
The soil is sludge.,1
Partially settled terrain.,3
Shifts underfoot soil conditions observed.,2
Impenetrable ground.,5
Stable enough soil conditions observed.,3
Foundations would sit on moderate stiffness earth.,3
Ground appears fluid-like and fluid-like.,1
The soil is excellent stability.,5
Excavation reveals moderately compacted and partially settled layers.,3
Observation: extremely dense.,5
Dense and hard clay terrain.,4
Foundations would sit on compressible earth.,2
Fair condition terrain.,3
Medium dense ground.,3
Loose soil conditions observed.,2
Firm ground.,4
Very soft clay with high water content,1
Site consists of dense material.,4
Testing indicates firm subsurface.,4
Excavation reveals typical silt layers.,3
Slightly moist and moderate stiffness ground.,3
Ground appears average consistency and average consistency.,3
Site consists of moderate stiffness material.,3
The soil is well compacted.,4
Site consists of poorly compacted material.,2
Foundations would sit on high strength and dense earth.,4
Observation: stable enough.,3
Site consists of stable enough material.,3
Excavation reveals extremely muddy layers.,1
Ground appears compacted gravel and compacted gravel.,4
Moderate sand and silt mix,3
Excavation reveals medium dense layers.,3
Waterlogged ground.,1
Collapsing terrain.,1
Testing indicates liquefied subsurface.,1
Excavation reveals resistant to penetration layers.,4
Unconsolidated terrain.,2
Observation: typical silt and acceptable firmness.,3
Foundations would sit on cemented earth.,5
Testing indicates rock-like and extremely dense subsurface.,5
High strength soil conditions observed.,4
Site consists of maximum compaction material.,5
The soil is yielding and loose.,2
Firm sand with some gravel,4
Foundations would sit on loose earth.,2
Very soft terrain.,1
Weak terrain.,2
Dry ground.,4
The soil is slightly moist.,3
Shifts underfoot ground.,2
High strength soil conditions observed.,4
The soil is average consistency.,3
Testing indicates dense subsurface.,4
The soil is acceptable firmness.,3
Undisturbed terrain.,5
"Compact soil, minor moisture, high support",3
Fair condition soil conditions observed.,3
Excavation reveals loose layers.,2
Testing indicates typical silt subsurface.,3
"Gravelly sand, very stable",5
Foundations would sit on poorly compacted earth.,2
Spongy soil conditions observed.,2
"Extremely muddy soil, almost sinking",1
Rock-like and maximum compaction terrain.,5
Compacted gravel and good bearing ground.,4
The soil is moderate stiffness.,3
Observation: hard clay.,4
Testing indicates average consistency subsurface.,3
Extremely muddy ground.,1
Testing indicates unconsolidated and lightly consolidated subsurface.,2
Ground appears weak and weak.,2
Weak terrain.,2
Observation: high strength.,4
Foundations would sit on moderate stiffness earth.,3
The soil is cemented and cemented.,5
The soil is lightly consolidated and unconsolidated.,2
The soil is hazardous and collapsing.,1
Compacted gravel ground.,4
Site consists of stable material.,4
Site consists of average consistency and fair condition material.,3
Ground appears acceptable firmness and acceptable firmness.,3
Impenetrable and rock-like ground.,5
"Firm clay, minor moisture",4
Stable soil conditions observed.,4
Excavation reveals typical silt layers.,3
"Dry firm soil, very stable",4
The soil is soft.,2
Extremely dense soil conditions observed.,5
Observation: bedrock exposed and maximum compaction.,5
Observation: moderately compacted.,3
Observation: good bearing and good bearing.,4
Ground appears resistant to penetration and stable and resistant to penetration and stable.,4
Observation: poorly compacted and shifts underfoot.,2
Site consists of firm material.,4
Testing indicates needs deep reinforcement subsurface.,2
Site consists of needs deep reinforcement material.,2
The soil is high strength.,4
Observation: stable enough and moderate stiffness.,3
